"Id","HomeTeam","HomeScore","AwayTeam","AwayScore","LineProvider","OverUnder","Spread","FormattedSpread","OpeningSpread","OpeningOverUnder","HomeMoneyline","AwayMoneyline"
"401525857","Oklahoma State","29","Kansas State","21","William Hill (New Jersey)","54","12","Kansas State -12","","","",""
"401525857","Oklahoma State","29","Kansas State","21","Bovada","54.0","11.5","Kansas State -11.5","11.5","54.5","340","-460"
"401525857","Oklahoma State","29","Kansas State","21","DraftKings","53.5","11.5","Kansas State -11.5","11","55","360","-440"
"401520340","Michigan State","0","Michigan","49","William Hill (New Jersey)","46.5","25.5","Michigan -25.5","","","",""
"401520340","Michigan State","0","Michigan","49","DraftKings","46","24.5","Michigan -24.5","19","","1700","-4500"
"401520340","Michigan State","0","Michigan","49","Bovada","47.0","25.5","Michigan -25.5","17.0","47.5","1100","-2800"
"401520343","Ohio State","20","Penn State","12","William Hill (New Jersey)","46.5","-4","Ohio State -4","","","",""
"401520343","Ohio State","20","Penn State","12","DraftKings","45.5","-4","Ohio State -4","-10","","-192","160"
"401520343","Ohio State","20","Penn State","12","Bovada","47.0","-4.0","Ohio State -4.0","-10.0","45.5","-180","155"
"401525530","Florida State","38","Duke","20","William Hill (New Jersey)","48.5","-14","Florida State -14","","","",""
"401525530","Florida State","38","Duke","20","DraftKings","49.5","-14.5","Florida State -14.5","-15.5","49","-600","440"
"401525530","Florida State","38","Duke","20","Bovada","49.0","-14.0","Florida State -14.0","-13.5","48.5","-650","450"
"401520333","Alabama","34","Tennessee","20","William Hill (New Jersey)","47.5","-8.5","Alabama -8.5","","","",""
"401520333","Alabama","34","Tennessee","20","DraftKings","47.5","-9.5","Alabama -9.5","-9.5","","-375","295"
"401520333","Alabama","34","Tennessee","20","Bovada","47.5","-8.5","Alabama -8.5","-8.0","49.0","-350","275"
"401525529","Miami","28","Clemson","20","William Hill (New Jersey)","45","6","Clemson -6","","","",""
"401525529","Miami","28","Clemson","20","Bovada","44.5","6.5","Clemson -6.5","9.5","49.0","130","-150"
"401525529","Miami","28","Clemson","20","DraftKings","48.5","3","Clemson -3","10","","195","-238"
"401520334","Arkansas","3","Mississippi State","7","William Hill (New Jersey)","46","-7","Arkansas -7","","","",""
"401520334","Arkansas","3","Mississippi State","7","Bovada","45.5","-7.0","Arkansas -7.0","-6.5","48.5","-245","205"
"401520334","Arkansas","3","Mississippi State","7","DraftKings","46.5","-6.5","Arkansas -6.5","-7","50.5","-278","225"
"401520336","Illinois","21","Wisconsin","25","William Hill (New Jersey)","41","3","Wisconsin -3","","","",""
"401520336","Illinois","21","Wisconsin","25","Bovada","41.0","3.0","Wisconsin -3.0","2.0","41.5","130","-150"
"401520336","Illinois","21","Wisconsin","25","DraftKings","40.5","3","Wisconsin -3","5","43","130","-155"
"401532448","Ball State","34","Kent State","3","Bovada","43.0","-10.5","Ball State -10.5","-11.5","41.5","-525","375"
"401532448","Ball State","34","Kent State","3","DraftKings","42","-13","Ball State -13","-13","42","-470","360"
"401532448","Ball State","34","Kent State","3","ESPN Bet","41.5","-10.5","Ball State -10.5","","","",""
"401520403","Army","28","Coastal Carolina","21","Bovada","40.5","1.0","Coastal Carolina -1.0","5.0","44.5","145","-170"
"401520403","Army","28","Coastal Carolina","21","DraftKings","","5.5","Coastal Carolina -5.5","5.5","","-105","-115"
